,cell_type,sex,ann_finest_level,count
94,hematopoietic stem cell,male,Alveolar fibroblasts,0
95,hematopoietic stem cell,male,Pericytes,0
96,hematopoietic stem cell,male,Subpleural fibroblasts,0
97,hematopoietic stem cell,male,Myofibroblasts,0
98,hematopoietic stem cell,male,Smooth muscle,0
99,hematopoietic stem cell,male,Smooth muscle FAM83D+,0
100,hematopoietic stem cell,male,SM activated stress response,0
101,hematopoietic stem cell,male,Mesothelium,0
102,hematopoietic stem cell,male,Hematopoietic stem cells,19
103,hematopoietic stem cell,male,B cells,0
104,hematopoietic stem cell,male,Plasma cells,0
105,hematopoietic stem cell,male,CD4 T cells,0
106,hematopoietic stem cell,male,CD8 T cells,0
107,hematopoietic stem cell,male,T cells proliferating,0
108,hematopoietic stem cell,male,NK cells,0
109,hematopoietic stem cell,male,DC1,0
110,hematopoietic stem cell,male,DC2,0
111,hematopoietic stem cell,male,Migratory DCs,0
112,hematopoietic stem cell,male,Plasmacytoid DCs,0
113,hematopoietic stem cell,male,Alveolar macrophages,0
114,hematopoietic stem cell,male,Alveolar Mph CCL3+,0
115,hematopoietic stem cell,male,Alveolar Mph MT-positive,0
116,hematopoietic stem cell,male,Alveolar Mph proliferating,0
117,hematopoietic stem cell,male,Monocyte-derived Mph,0
118,hematopoietic stem cell,male,Interstitial Mph perivascular,0
119,hematopoietic stem cell,male,Classical monocytes,0
120,hematopoietic stem cell,male,Non-classical monocytes,0
121,hematopoietic stem cell,male,Mast cells,0
122,fibroblast,female,Basal resting,0
123,fibroblast,female,Suprabasal,0
124,fibroblast,female,Hillock-like,0
125,fibroblast,female,Deuterosomal,0
126,fibroblast,female,Multiciliated (nasal),0
127,fibroblast,female,Multiciliated (non-nasal),0
128,fibroblast,female,Club (non-nasal),0
129,fibroblast,female,Club (nasal),0
130,fibroblast,female,Goblet (nasal),0
131,fibroblast,female,Goblet (bronchial),0
132,fibroblast,female,Goblet (subsegmental),0
133,fibroblast,female,AT0,0
134,fibroblast,female,pre-TB secretory,0
135,fibroblast,female,Ionocyte,0
136,fibroblast,female,Tuft,0
137,fibroblast,female,Neuroendocrine,0
138,fibroblast,female,SMG serous (nasal),0
139,fibroblast,female,SMG serous (bronchial),0
140,fibroblast,female,SMG mucous,0
141,fibroblast,female,SMG duct,0
142,fibroblast,female,AT1,0
143,fibroblast,female,AT2,0
144,fibroblast,female,AT2 proliferating,0
145,fibroblast,female,EC arterial,0
146,fibroblast,female,EC aerocyte capillary,0
147,fibroblast,female,EC general capillary,0
148,fibroblast,female,EC venous systemic,0
149,fibroblast,female,EC venous pulmonary,0
150,fibroblast,female,Lymphatic EC mature,0
151,fibroblast,female,Lymphatic EC proliferating,0
152,fibroblast,female,Lymphatic EC differentiating,0
153,fibroblast,female,Peribronchial fibroblasts,0
154,fibroblast,female,Adventitial fibroblasts,0
155,fibroblast,female,Alveolar fibroblasts,0
156,fibroblast,female,Pericytes,0
157,fibroblast,female,Subpleural fibroblasts,88
158,fibroblast,female,Myofibroblasts,0
159,fibroblast,female,Smooth muscle,0
160,fibroblast,female,Smooth muscle FAM83D+,0
161,fibroblast,female,SM activated stress response,0
162,fibroblast,female,Mesothelium,0
163,fibroblast,female,Hematopoietic stem cells,0
164,fibroblast,female,B cells,0
165,fibroblast,female,Plasma cells,0
166,fibroblast,female,CD4 T cells,0
167,fibroblast,female,CD8 T cells,0
168,fibroblast,female,T cells proliferating,0
169,fibroblast,female,NK cells,0
170,fibroblast,female,DC1,0
171,fibroblast,female,DC2,0
172,fibroblast,female,Migratory DCs,0
173,fibroblast,female,Plasmacytoid DCs,0
174,fibroblast,female,Alveolar macrophages,0
175,fibroblast,female,Alveolar Mph CCL3+,0
176,fibroblast,female,Alveolar Mph MT-positive,0
177,fibroblast,female,Alveolar Mph proliferating,0
178,fibroblast,female,Monocyte-derived Mph,0
179,fibroblast,female,Interstitial Mph perivascular,0
180,fibroblast,female,Classical monocytes,0
181,fibroblast,female,Non-classical monocytes,0
182,fibroblast,female,Mast cells,0
183,fibroblast,male,Basal resting,0
184,fibroblast,male,Suprabasal,0
185,fibroblast,male,Hillock-like,0
186,fibroblast,male,Deuterosomal,0
187,fibroblast,male,Multiciliated (nasal),0
188,fibroblast,male,Multiciliated (non-nasal),0
189,fibroblast,male,Club (non-nasal),0
190,fibroblast,male,Club (nasal),0
191,fibroblast,male,Goblet (nasal),0
192,fibroblast,male,Goblet (bronchial),0
193,fibroblast,male,Goblet (subsegmental),0
194,fibroblast,male,AT0,0
195,fibroblast,male,pre-TB secretory,0
196,fibroblast,male,Ionocyte,0
197,fibroblast,male,Tuft,0
198,fibroblast,male,Neuroendocrine,0
199,fibroblast,male,SMG serous (nasal),0
200,fibroblast,male,SMG serous (bronchial),0
201,fibroblast,male,SMG mucous,0
202,fibroblast,male,SMG duct,0
203,fibroblast,male,AT1,0
204,fibroblast,male,AT2,0
205,fibroblast,male,AT2 proliferating,0
206,fibroblast,male,EC arterial,0
207,fibroblast,male,EC aerocyte capillary,0
208,fibroblast,male,EC general capillary,0
209,fibroblast,male,EC venous systemic,0
210,fibroblast,male,EC venous pulmonary,0
211,fibroblast,male,Lymphatic EC mature,0
212,fibroblast,male,Lymphatic EC proliferating,0
213,fibroblast,male,Lymphatic EC differentiating,0
214,fibroblast,male,Peribronchial fibroblasts,0
215,fibroblast,male,Adventitial fibroblasts,0
216,fibroblast,male,Alveolar fibroblasts,0
217,fibroblast,male,Pericytes,0
218,fibroblast,male,Subpleural fibroblasts,188
219,fibroblast,male,Myofibroblasts,0
220,fibroblast,male,Smooth muscle,0
221,fibroblast,male,Smooth muscle FAM83D+,0
222,fibroblast,male,SM activated stress response,0
223,fibroblast,male,Mesothelium,0
224,fibroblast,male,Hematopoietic stem cells,0
225,fibroblast,male,B cells,0
226,fibroblast,male,Plasma cells,0
227,fibroblast,male,CD4 T cells,0
228,fibroblast,male,CD8 T cells,0
229,fibroblast,male,T cells proliferating,0
230,fibroblast,male,NK cells,0
231,fibroblast,male,DC1,0
232,fibroblast,male,DC2,0
233,fibroblast,male,Migratory DCs,0
234,fibroblast,male,Plasmacytoid DCs,0
235,fibroblast,male,Alveolar macrophages,0
236,fibroblast,male,Alveolar Mph CCL3+,0
237,fibroblast,male,Alveolar Mph MT-positive,0
238,fibroblast,male,Alveolar Mph proliferating,0
239,fibroblast,male,Monocyte-derived Mph,0
240,fibroblast,male,Interstitial Mph perivascular,0
241,fibroblast,male,Classical monocytes,0
242,fibroblast,male,Non-classical monocytes,0
243,fibroblast,male,Mast cells,0
244,mesothelial cell,female,Basal resting,0
245,mesothelial cell,female,Suprabasal,0
246,mesothelial cell,female,Hillock-like,0
247,mesothelial cell,female,Deuterosomal,0
248,mesothelial cell,female,Multiciliated (nasal),0
249,mesothelial cell,female,Multiciliated (non-nasal),0
250,mesothelial cell,female,Club (non-nasal),0
251,mesothelial cell,female,Club (nasal),0
252,mesothelial cell,female,Goblet (nasal),0
253,mesothelial cell,female,Goblet (bronchial),0
254,mesothelial cell,female,Goblet (subsegmental),0
255,mesothelial cell,female,AT0,0
256,mesothelial cell,female,pre-TB secretory,0
257,mesothelial cell,female,Ionocyte,0
258,mesothelial cell,female,Tuft,0
259,mesothelial cell,female,Neuroendocrine,0
260,mesothelial cell,female,SMG serous (nasal),0
261,mesothelial cell,female,SMG serous (bronchial),0
262,mesothelial cell,female,SMG mucous,0
263,mesothelial cell,female,SMG duct,0
264,mesothelial cell,female,AT1,0
265,mesothelial cell,female,AT2,0
266,mesothelial cell,female,AT2 proliferating,0
267,mesothelial cell,female,EC arterial,0
268,mesothelial cell,female,EC aerocyte capillary,0
269,mesothelial cell,female,EC general capillary,0
270,mesothelial cell,female,EC venous systemic,0
271,mesothelial cell,female,EC venous pulmonary,0
272,mesothelial cell,female,Lymphatic EC mature,0
273,mesothelial cell,female,Lymphatic EC proliferating,0
274,mesothelial cell,female,Lymphatic EC differentiating,0
275,mesothelial cell,female,Peribronchial fibroblasts,0
276,mesothelial cell,female,Adventitial fibroblasts,0
277,mesothelial cell,female,Alveolar fibroblasts,0
278,mesothelial cell,female,Pericytes,0
279,mesothelial cell,female,Subpleural fibroblasts,0
280,mesothelial cell,female,Myofibroblasts,0
281,mesothelial cell,female,Smooth muscle,0
282,mesothelial cell,female,Smooth muscle FAM83D+,0
283,mesothelial cell,female,SM activated stress response,0
284,mesothelial cell,female,Mesothelium,7
285,mesothelial cell,female,Hematopoietic stem cells,0
286,mesothelial cell,female,B cells,0
287,mesothelial cell,female,Plasma cells,0
288,mesothelial cell,female,CD4 T cells,0
289,mesothelial cell,female,CD8 T cells,0
290,mesothelial cell,female,T cells proliferating,0
291,mesothelial cell,female,NK cells,0
292,mesothelial cell,female,DC1,0
293,mesothelial cell,female,DC2,0
294,mesothelial cell,female,Migratory DCs,0
295,mesothelial cell,female,Plasmacytoid DCs,0
296,mesothelial cell,female,Alveolar macrophages,0
297,mesothelial cell,female,Alveolar Mph CCL3+,0
298,mesothelial cell,female,Alveolar Mph MT-positive,0
299,mesothelial cell,female,Alveolar Mph proliferating,0
300,mesothelial cell,female,Monocyte-derived Mph,0
301,mesothelial cell,female,Interstitial Mph perivascular,0
302,mesothelial cell,female,Classical monocytes,0
303,mesothelial cell,female,Non-classical monocytes,0
304,mesothelial cell,female,Mast cells,0
305,mesothelial cell,male,Basal resting,0
306,mesothelial cell,male,Suprabasal,0
307,mesothelial cell,male,Hillock-like,0
308,mesothelial cell,male,Deuterosomal,0
309,mesothelial cell,male,Multiciliated (nasal),0
310,mesothelial cell,male,Multiciliated (non-nasal),0
311,mesothelial cell,male,Club (non-nasal),0
312,mesothelial cell,male,Club (nasal),0
313,mesothelial cell,male,Goblet (nasal),0
314,mesothelial cell,male,Goblet (bronchial),0
315,mesothelial cell,male,Goblet (subsegmental),0
316,mesothelial cell,male,AT0,0
317,mesothelial cell,male,pre-TB secretory,0
318,mesothelial cell,male,Ionocyte,0
319,mesothelial cell,male,Tuft,0
320,mesothelial cell,male,Neuroendocrine,0
321,mesothelial cell,male,SMG serous (nasal),0
322,mesothelial cell,male,SMG serous (bronchial),0
323,mesothelial cell,male,SMG mucous,0
324,mesothelial cell,male,SMG duct,0
325,mesothelial cell,male,AT1,0
326,mesothelial cell,male,AT2,0
327,mesothelial cell,male,AT2 proliferating,0
328,mesothelial cell,male,EC arterial,0
329,mesothelial cell,male,EC aerocyte capillary,0
330,mesothelial cell,male,EC general capillary,0
331,mesothelial cell,male,EC venous systemic,0
332,mesothelial cell,male,EC venous pulmonary,0
333,mesothelial cell,male,Lymphatic EC mature,0
334,mesothelial cell,male,Lymphatic EC proliferating,0
335,mesothelial cell,male,Lymphatic EC differentiating,0
336,mesothelial cell,male,Peribronchial fibroblasts,0
337,mesothelial cell,male,Adventitial fibroblasts,0
338,mesothelial cell,male,Alveolar fibroblasts,0
339,mesothelial cell,male,Pericytes,0
340,mesothelial cell,male,Subpleural fibroblasts,0
341,mesothelial cell,male,Myofibroblasts,0
342,mesothelial cell,male,Smooth muscle,0
343,mesothelial cell,male,Smooth muscle FAM83D+,0
344,mesothelial cell,male,SM activated stress response,0
345,mesothelial cell,male,Mesothelium,223
346,mesothelial cell,male,Hematopoietic stem cells,0
347,mesothelial cell,male,B cells,0
348,mesothelial cell,male,Plasma cells,0
349,mesothelial cell,male,CD4 T cells,0
350,mesothelial cell,male,CD8 T cells,0
351,mesothelial cell,male,T cells proliferating,0
352,mesothelial cell,male,NK cells,0
353,mesothelial cell,male,DC1,0
354,mesothelial cell,male,DC2,0
355,mesothelial cell,male,Migratory DCs,0
356,mesothelial cell,male,Plasmacytoid DCs,0
357,mesothelial cell,male,Alveolar macrophages,0
358,mesothelial cell,male,Alveolar Mph CCL3+,0
359,mesothelial cell,male,Alveolar Mph MT-positive,0
360,mesothelial cell,male,Alveolar Mph proliferating,0
361,mesothelial cell,male,Monocyte-derived Mph,0
362,mesothelial cell,male,Interstitial Mph perivascular,0
363,mesothelial cell,male,Classical monocytes,0
364,mesothelial cell,male,Non-classical monocytes,0
365,mesothelial cell,male,Mast cells,0
366,T cell,female,Basal resting,0
367,T cell,female,Suprabasal,0
368,T cell,female,Hillock-like,0
369,T cell,female,Deuterosomal,0
370,T cell,female,Multiciliated (nasal),0
371,T cell,female,Multiciliated (non-nasal),0
372,T cell,female,Club (non-nasal),0
373,T cell,female,Club (nasal),0
374,T cell,female,Goblet (nasal),0
375,T cell,female,Goblet (bronchial),0
376,T cell,female,Goblet (subsegmental),0
377,T cell,female,AT0,0
378,T cell,female,pre-TB secretory,0
379,T cell,female,Ionocyte,0
380,T cell,female,Tuft,0
381,T cell,female,Neuroendocrine,0
382,T cell,female,SMG serous (nasal),0
383,T cell,female,SMG serous (bronchial),0
384,T cell,female,SMG mucous,0
385,T cell,female,SMG duct,0
386,T cell,female,AT1,0
387,T cell,female,AT2,0
388,T cell,female,AT2 proliferating,0
389,T cell,female,EC arterial,0
390,T cell,female,EC aerocyte capillary,0
391,T cell,female,EC general capillary,0
392,T cell,female,EC venous systemic,0
393,T cell,female,EC venous pulmonary,0
394,T cell,female,Lymphatic EC mature,0
395,T cell,female,Lymphatic EC proliferating,0
396,T cell,female,Lymphatic EC differentiating,0
397,T cell,female,Peribronchial fibroblasts,0
398,T cell,female,Adventitial fibroblasts,0
399,T cell,female,Alveolar fibroblasts,0
400,T cell,female,Pericytes,0
401,T cell,female,Subpleural fibroblasts,0
402,T cell,female,Myofibroblasts,0
403,T cell,female,Smooth muscle,0
404,T cell,female,Smooth muscle FAM83D+,0
405,T cell,female,SM activated stress response,0
406,T cell,female,Mesothelium,0
407,T cell,female,Hematopoietic stem cells,0
408,T cell,female,B cells,0
409,T cell,female,Plasma cells,0
410,T cell,female,CD4 T cells,0
411,T cell,female,CD8 T cells,0
412,T cell,female,T cells proliferating,378
413,T cell,female,NK cells,0
414,T cell,female,DC1,0
415,T cell,female,DC2,0
416,T cell,female,Migratory DCs,0
417,T cell,female,Plasmacytoid DCs,0
418,T cell,female,Alveolar macrophages,0
419,T cell,female,Alveolar Mph CCL3+,0
420,T cell,female,Alveolar Mph MT-positive,0
421,T cell,female,Alveolar Mph proliferating,0
422,T cell,female,Monocyte-derived Mph,0
423,T cell,female,Interstitial Mph perivascular,0
424,T cell,female,Classical monocytes,0
425,T cell,female,Non-classical monocytes,0
426,T cell,female,Mast cells,0
427,T cell,male,Basal resting,0
428,T cell,male,Suprabasal,0
429,T cell,male,Hillock-like,0
430,T cell,male,Deuterosomal,0
431,T cell,male,Multiciliated (nasal),0
432,T cell,male,Multiciliated (non-nasal),0
433,T cell,male,Club (non-nasal),0
434,T cell,male,Club (nasal),0
435,T cell,male,Goblet (nasal),0
436,T cell,male,Goblet (bronchial),0
437,T cell,male,Goblet (subsegmental),0
438,T cell,male,AT0,0
439,T cell,male,pre-TB secretory,0
440,T cell,male,Ionocyte,0
441,T cell,male,Tuft,0
442,T cell,male,Neuroendocrine,0
443,T cell,male,SMG serous (nasal),0
444,T cell,male,SMG serous (bronchial),0
445,T cell,male,SMG mucous,0
446,T cell,male,SMG duct,0
447,T cell,male,AT1,0
448,T cell,male,AT2,0
449,T cell,male,AT2 proliferating,0
450,T cell,male,EC arterial,0
451,T cell,male,EC aerocyte capillary,0
452,T cell,male,EC general capillary,0
453,T cell,male,EC venous systemic,0
454,T cell,male,EC venous pulmonary,0
455,T cell,male,Lymphatic EC mature,0
456,T cell,male,Lymphatic EC proliferating,0
457,T cell,male,Lymphatic EC differentiating,0
458,T cell,male,Peribronchial fibroblasts,0
459,T cell,male,Adventitial fibroblasts,0
460,T cell,male,Alveolar fibroblasts,0
461,T cell,male,Pericytes,0
462,T cell,male,Subpleural fibroblasts,0
463,T cell,male,Myofibroblasts,0
464,T cell,male,Smooth muscle,0
465,T cell,male,Smooth muscle FAM83D+,0
466,T cell,male,SM activated stress response,0
467,T cell,male,Mesothelium,0
468,T cell,male,Hematopoietic stem cells,0
469,T cell,male,B cells,0
470,T cell,male,Plasma cells,0
471,T cell,male,CD4 T cells,0
472,T cell,male,CD8 T cells,0
473,T cell,male,T cells proliferating,122
474,T cell,male,NK cells,0
475,T cell,male,DC1,0
476,T cell,male,DC2,0
477,T cell,male,Migratory DCs,0
478,T cell,male,Plasmacytoid DCs,0
479,T cell,male,Alveolar macrophages,0
480,T cell,male,Alveolar Mph CCL3+,0
481,T cell,male,Alveolar Mph MT-positive,0
482,T cell,male,Alveolar Mph proliferating,0
483,T cell,male,Monocyte-derived Mph,0
484,T cell,male,Interstitial Mph perivascular,0
485,T cell,male,Classical monocytes,0
486,T cell,male,Non-classical monocytes,0
487,T cell,male,Mast cells,0
488,mast cell,female,Basal resting,0
489,mast cell,female,Suprabasal,0
490,mast cell,female,Hillock-like,0
491,mast cell,female,Deuterosomal,0
492,mast cell,female,Multiciliated (nasal),0
493,mast cell,female,Multiciliated (non-nasal),0
494,mast cell,female,Club (non-nasal),0
495,mast cell,female,Club (nasal),0
496,mast cell,female,Goblet (nasal),0
497,mast cell,female,Goblet (bronchial),0
498,mast cell,female,Goblet (subsegmental),0
499,mast cell,female,AT0,0
500,mast cell,female,pre-TB secretory,0
501,mast cell,female,Ionocyte,0
502,mast cell,female,Tuft,0
503,mast cell,female,Neuroendocrine,0
504,mast cell,female,SMG serous (nasal),0
505,mast cell,female,SMG serous (bronchial),0
506,mast cell,female,SMG mucous,0
507,mast cell,female,SMG duct,0
508,mast cell,female,AT1,0
509,mast cell,female,AT2,0
510,mast cell,female,AT2 proliferating,0
511,mast cell,female,EC arterial,0
512,mast cell,female,EC aerocyte capillary,0
513,mast cell,female,EC general capillary,0
514,mast cell,female,EC venous systemic,0
515,mast cell,female,EC venous pulmonary,0
516,mast cell,female,Lymphatic EC mature,0
517,mast cell,female,Lymphatic EC proliferating,0
518,mast cell,female,Lymphatic EC differentiating,0
519,mast cell,female,Peribronchial fibroblasts,0
520,mast cell,female,Adventitial fibroblasts,0
521,mast cell,female,Alveolar fibroblasts,0
522,mast cell,female,Pericytes,0
523,mast cell,female,Subpleural fibroblasts,0
524,mast cell,female,Myofibroblasts,0
525,mast cell,female,Smooth muscle,0
526,mast cell,female,Smooth muscle FAM83D+,0
527,mast cell,female,SM activated stress response,0
528,mast cell,female,Mesothelium,0
529,mast cell,female,Hematopoietic stem cells,0
530,mast cell,female,B cells,0
531,mast cell,female,Plasma cells,0
532,mast cell,female,CD4 T cells,0
533,mast cell,female,CD8 T cells,0
534,mast cell,female,T cells proliferating,0
535,mast cell,female,NK cells,0
536,mast cell,female,DC1,0
537,mast cell,female,DC2,0
538,mast cell,female,Migratory DCs,0
539,mast cell,female,Plasmacytoid DCs,0
540,mast cell,female,Alveolar macrophages,0
541,mast cell,female,Alveolar Mph CCL3+,0
542,mast cell,female,Alveolar Mph MT-positive,0
543,mast cell,female,Alveolar Mph proliferating,0
544,mast cell,female,Monocyte-derived Mph,0
545,mast cell,female,Interstitial Mph perivascular,0
546,mast cell,female,Classical monocytes,0
547,mast cell,female,Non-classical monocytes,0
548,mast cell,female,Mast cells,3989
549,mast cell,male,Basal resting,0
550,mast cell,male,Suprabasal,0
551,mast cell,male,Hillock-like,0
552,mast cell,male,Deuterosomal,0
553,mast cell,male,Multiciliated (nasal),0
554,mast cell,male,Multiciliated (non-nasal),0
555,mast cell,male,Club (non-nasal),0
556,mast cell,male,Club (nasal),0
557,mast cell,male,Goblet (nasal),0
558,mast cell,male,Goblet (bronchial),0
559,mast cell,male,Goblet (subsegmental),0
560,mast cell,male,AT0,0
561,mast cell,male,pre-TB secretory,0
562,mast cell,male,Ionocyte,0
563,mast cell,male,Tuft,0
564,mast cell,male,Neuroendocrine,0
565,mast cell,male,SMG serous (nasal),0
566,mast cell,male,SMG serous (bronchial),0
567,mast cell,male,SMG mucous,0
568,mast cell,male,SMG duct,0
569,mast cell,male,AT1,0
570,mast cell,male,AT2,0
571,mast cell,male,AT2 proliferating,0
572,mast cell,male,EC arterial,0
573,mast cell,male,EC aerocyte capillary,0
574,mast cell,male,EC general capillary,0
575,mast cell,male,EC venous systemic,0
576,mast cell,male,EC venous pulmonary,0
577,mast cell,male,Lymphatic EC mature,0
578,mast cell,male,Lymphatic EC proliferating,0
579,mast cell,male,Lymphatic EC differentiating,0
580,mast cell,male,Peribronchial fibroblasts,0
581,mast cell,male,Adventitial fibroblasts,0
582,mast cell,male,Alveolar fibroblasts,0
583,mast cell,male,Pericytes,0
584,mast cell,male,Subpleural fibroblasts,0
585,mast cell,male,Myofibroblasts,0
586,mast cell,male,Smooth muscle,0
587,mast cell,male,Smooth muscle FAM83D+,0
588,mast cell,male,SM activated stress response,0
589,mast cell,male,Mesothelium,0
590,mast cell,male,Hematopoietic stem cells,0
591,mast cell,male,B cells,0
592,mast cell,male,Plasma cells,0
593,mast cell,male,CD4 T cells,0
594,mast cell,male,CD8 T cells,0
595,mast cell,male,T cells proliferating,0
596,mast cell,male,NK cells,0
597,mast cell,male,DC1,0
598,mast cell,male,DC2,0
599,mast cell,male,Migratory DCs,0
600,mast cell,male,Plasmacytoid DCs,0
601,mast cell,male,Alveolar macrophages,0
602,mast cell,male,Alveolar Mph CCL3+,0
603,mast cell,male,Alveolar Mph MT-positive,0
604,mast cell,male,Alveolar Mph proliferating,0
605,mast cell,male,Monocyte-derived Mph,0
606,mast cell,male,Interstitial Mph perivascular,0
607,mast cell,male,Classical monocytes,0
608,mast cell,male,Non-classical monocytes,0
609,mast cell,male,Mast cells,2634
610,club cell,female,Basal resting,0
611,club cell,female,Suprabasal,0
612,club cell,female,Hillock-like,0
613,club cell,female,Deuterosomal,0
614,club cell,female,Multiciliated (nasal),0
615,club cell,female,Multiciliated (non-nasal),0
616,club cell,female,Club (non-nasal),4656
617,club cell,female,Club (nasal),12989
618,club cell,female,Goblet (nasal),0
619,club cell,female,Goblet (bronchial),0
620,club cell,female,Goblet (subsegmental),0
621,club cell,female,AT0,0
622,club cell,female,pre-TB secretory,0
623,club cell,female,Ionocyte,0
624,club cell,female,Tuft,0
625,club cell,female,Neuroendocrine,0
626,club cell,female,SMG serous (nasal),0
627,club cell,female,SMG serous (bronchial),0
628,club cell,female,SMG mucous,0
629,club cell,female,SMG duct,0
630,club cell,female,AT1,0
631,club cell,female,AT2,0
632,club cell,female,AT2 proliferating,0
633,club cell,female,EC arterial,0
634,club cell,female,EC aerocyte capillary,0
635,club cell,female,EC general capillary,0
636,club cell,female,EC venous systemic,0
637,club cell,female,EC venous pulmonary,0
638,club cell,female,Lymphatic EC mature,0
639,club cell,female,Lymphatic EC proliferating,0
640,club cell,female,Lymphatic EC differentiating,0
641,club cell,female,Peribronchial fibroblasts,0
642,club cell,female,Adventitial fibroblasts,0
643,club cell,female,Alveolar fibroblasts,0
644,club cell,female,Pericytes,0
645,club cell,female,Subpleural fibroblasts,0
646,club cell,female,Myofibroblasts,0
647,club cell,female,Smooth muscle,0
