cell_type,ann_level_1,ann_level_5,0
hematopoietic stem cell,Immune,Interstitial Mph perivascular,0
hematopoietic stem cell,Immune,Monocyte-derived Mph,0
hematopoietic stem cell,Immune,Multiciliated (nasal),0
hematopoietic stem cell,Immune,Multiciliated (non-nasal),0
hematopoietic stem cell,Immune,None,60
hematopoietic stem cell,Immune,SMG serous (bronchial),0
hematopoietic stem cell,Immune,SMG serous (nasal),0
hematopoietic stem cell,Immune,pre-TB secretory,0
hematopoietic stem cell,Stroma,AT0,0
hematopoietic stem cell,Stroma,Alveolar Mph CCL3+,0
hematopoietic stem cell,Stroma,Alveolar Mph MT-positive,0
hematopoietic stem cell,Stroma,Alveolar Mph proliferating,0
hematopoietic stem cell,Stroma,Club (nasal),0
hematopoietic stem cell,Stroma,Club (non-nasal),0
hematopoietic stem cell,Stroma,Goblet (bronchial),0
hematopoietic stem cell,Stroma,Goblet (nasal),0
hematopoietic stem cell,Stroma,Goblet (subsegmental),0
hematopoietic stem cell,Stroma,Interstitial Mph perivascular,0
hematopoietic stem cell,Stroma,Monocyte-derived Mph,0
hematopoietic stem cell,Stroma,Multiciliated (nasal),0
hematopoietic stem cell,Stroma,Multiciliated (non-nasal),0
hematopoietic stem cell,Stroma,None,0
hematopoietic stem cell,Stroma,SMG serous (bronchial),0
hematopoietic stem cell,Stroma,SMG serous (nasal),0
hematopoietic stem cell,Stroma,pre-TB secretory,0
fibroblast,Endothelial,AT0,0
fibroblast,Endothelial,Alveolar Mph CCL3+,0
fibroblast,Endothelial,Alveolar Mph MT-positive,0
fibroblast,Endothelial,Alveolar Mph proliferating,0
fibroblast,Endothelial,Club (nasal),0
fibroblast,Endothelial,Club (non-nasal),0
fibroblast,Endothelial,Goblet (bronchial),0
fibroblast,Endothelial,Goblet (nasal),0
fibroblast,Endothelial,Goblet (subsegmental),0
fibroblast,Endothelial,Interstitial Mph perivascular,0
fibroblast,Endothelial,Monocyte-derived Mph,0
fibroblast,Endothelial,Multiciliated (nasal),0
fibroblast,Endothelial,Multiciliated (non-nasal),0
fibroblast,Endothelial,None,0
fibroblast,Endothelial,SMG serous (bronchial),0
fibroblast,Endothelial,SMG serous (nasal),0
fibroblast,Endothelial,pre-TB secretory,0
fibroblast,Epithelial,AT0,0
fibroblast,Epithelial,Alveolar Mph CCL3+,0
fibroblast,Epithelial,Alveolar Mph MT-positive,0
fibroblast,Epithelial,Alveolar Mph proliferating,0
fibroblast,Epithelial,Club (nasal),0
fibroblast,Epithelial,Club (non-nasal),0
fibroblast,Epithelial,Goblet (bronchial),0
fibroblast,Epithelial,Goblet (nasal),0
fibroblast,Epithelial,Goblet (subsegmental),0
fibroblast,Epithelial,Interstitial Mph perivascular,0
fibroblast,Epithelial,Monocyte-derived Mph,0
fibroblast,Epithelial,Multiciliated (nasal),0
fibroblast,Epithelial,Multiciliated (non-nasal),0
fibroblast,Epithelial,None,0
fibroblast,Epithelial,SMG serous (bronchial),0
fibroblast,Epithelial,SMG serous (nasal),0
fibroblast,Epithelial,pre-TB secretory,0
fibroblast,Immune,AT0,0
fibroblast,Immune,Alveolar Mph CCL3+,0
fibroblast,Immune,Alveolar Mph MT-positive,0
fibroblast,Immune,Alveolar Mph proliferating,0
fibroblast,Immune,Club (nasal),0
fibroblast,Immune,Club (non-nasal),0
fibroblast,Immune,Goblet (bronchial),0
fibroblast,Immune,Goblet (nasal),0
fibroblast,Immune,Goblet (subsegmental),0
fibroblast,Immune,Interstitial Mph perivascular,0
fibroblast,Immune,Monocyte-derived Mph,0
fibroblast,Immune,Multiciliated (nasal),0
fibroblast,Immune,Multiciliated (non-nasal),0
fibroblast,Immune,None,0
fibroblast,Immune,SMG serous (bronchial),0
fibroblast,Immune,SMG serous (nasal),0
fibroblast,Immune,pre-TB secretory,0
fibroblast,Stroma,AT0,0
fibroblast,Stroma,Alveolar Mph CCL3+,0
fibroblast,Stroma,Alveolar Mph MT-positive,0
fibroblast,Stroma,Alveolar Mph proliferating,0
fibroblast,Stroma,Club (nasal),0
fibroblast,Stroma,Club (non-nasal),0
fibroblast,Stroma,Goblet (bronchial),0
fibroblast,Stroma,Goblet (nasal),0
fibroblast,Stroma,Goblet (subsegmental),0
fibroblast,Stroma,Interstitial Mph perivascular,0
fibroblast,Stroma,Monocyte-derived Mph,0
fibroblast,Stroma,Multiciliated (nasal),0
fibroblast,Stroma,Multiciliated (non-nasal),0
fibroblast,Stroma,None,276
fibroblast,Stroma,SMG serous (bronchial),0
fibroblast,Stroma,SMG serous (nasal),0
fibroblast,Stroma,pre-TB secretory,0
mesothelial cell,Endothelial,AT0,0
mesothelial cell,Endothelial,Alveolar Mph CCL3+,0
mesothelial cell,Endothelial,Alveolar Mph MT-positive,0
mesothelial cell,Endothelial,Alveolar Mph proliferating,0
mesothelial cell,Endothelial,Club (nasal),0
mesothelial cell,Endothelial,Club (non-nasal),0
mesothelial cell,Endothelial,Goblet (bronchial),0
mesothelial cell,Endothelial,Goblet (nasal),0
mesothelial cell,Endothelial,Goblet (subsegmental),0
mesothelial cell,Endothelial,Interstitial Mph perivascular,0
mesothelial cell,Endothelial,Monocyte-derived Mph,0
mesothelial cell,Endothelial,Multiciliated (nasal),0
mesothelial cell,Endothelial,Multiciliated (non-nasal),0
mesothelial cell,Endothelial,None,0
mesothelial cell,Endothelial,SMG serous (bronchial),0
mesothelial cell,Endothelial,SMG serous (nasal),0
mesothelial cell,Endothelial,pre-TB secretory,0
mesothelial cell,Epithelial,AT0,0
mesothelial cell,Epithelial,Alveolar Mph CCL3+,0
mesothelial cell,Epithelial,Alveolar Mph MT-positive,0
mesothelial cell,Epithelial,Alveolar Mph proliferating,0
mesothelial cell,Epithelial,Club (nasal),0
mesothelial cell,Epithelial,Club (non-nasal),0
mesothelial cell,Epithelial,Goblet (bronchial),0
mesothelial cell,Epithelial,Goblet (nasal),0
mesothelial cell,Epithelial,Goblet (subsegmental),0
mesothelial cell,Epithelial,Interstitial Mph perivascular,0
mesothelial cell,Epithelial,Monocyte-derived Mph,0
mesothelial cell,Epithelial,Multiciliated (nasal),0
mesothelial cell,Epithelial,Multiciliated (non-nasal),0
mesothelial cell,Epithelial,None,0
mesothelial cell,Epithelial,SMG serous (bronchial),0
mesothelial cell,Epithelial,SMG serous (nasal),0
mesothelial cell,Epithelial,pre-TB secretory,0
mesothelial cell,Immune,AT0,0
mesothelial cell,Immune,Alveolar Mph CCL3+,0
mesothelial cell,Immune,Alveolar Mph MT-positive,0
mesothelial cell,Immune,Alveolar Mph proliferating,0
mesothelial cell,Immune,Club (nasal),0
mesothelial cell,Immune,Club (non-nasal),0
mesothelial cell,Immune,Goblet (bronchial),0
mesothelial cell,Immune,Goblet (nasal),0
mesothelial cell,Immune,Goblet (subsegmental),0
mesothelial cell,Immune,Interstitial Mph perivascular,0
mesothelial cell,Immune,Monocyte-derived Mph,0
mesothelial cell,Immune,Multiciliated (nasal),0
mesothelial cell,Immune,Multiciliated (non-nasal),0
mesothelial cell,Immune,None,0
mesothelial cell,Immune,SMG serous (bronchial),0
mesothelial cell,Immune,SMG serous (nasal),0
mesothelial cell,Immune,pre-TB secretory,0
mesothelial cell,Stroma,AT0,0
mesothelial cell,Stroma,Alveolar Mph CCL3+,0
mesothelial cell,Stroma,Alveolar Mph MT-positive,0
mesothelial cell,Stroma,Alveolar Mph proliferating,0
mesothelial cell,Stroma,Club (nasal),0
mesothelial cell,Stroma,Club (non-nasal),0
mesothelial cell,Stroma,Goblet (bronchial),0
mesothelial cell,Stroma,Goblet (nasal),0
mesothelial cell,Stroma,Goblet (subsegmental),0
mesothelial cell,Stroma,Interstitial Mph perivascular,0
mesothelial cell,Stroma,Monocyte-derived Mph,0
mesothelial cell,Stroma,Multiciliated (nasal),0
mesothelial cell,Stroma,Multiciliated (non-nasal),0
mesothelial cell,Stroma,None,230
mesothelial cell,Stroma,SMG serous (bronchial),0
mesothelial cell,Stroma,SMG serous (nasal),0
mesothelial cell,Stroma,pre-TB secretory,0
T cell,Endothelial,AT0,0
T cell,Endothelial,Alveolar Mph CCL3+,0
T cell,Endothelial,Alveolar Mph MT-positive,0
T cell,Endothelial,Alveolar Mph proliferating,0
T cell,Endothelial,Club (nasal),0
T cell,Endothelial,Club (non-nasal),0
T cell,Endothelial,Goblet (bronchial),0
T cell,Endothelial,Goblet (nasal),0
T cell,Endothelial,Goblet (subsegmental),0
T cell,Endothelial,Interstitial Mph perivascular,0
T cell,Endothelial,Monocyte-derived Mph,0
T cell,Endothelial,Multiciliated (nasal),0
T cell,Endothelial,Multiciliated (non-nasal),0
T cell,Endothelial,None,0
T cell,Endothelial,SMG serous (bronchial),0
T cell,Endothelial,SMG serous (nasal),0
T cell,Endothelial,pre-TB secretory,0
T cell,Epithelial,AT0,0
T cell,Epithelial,Alveolar Mph CCL3+,0
T cell,Epithelial,Alveolar Mph MT-positive,0
T cell,Epithelial,Alveolar Mph proliferating,0
T cell,Epithelial,Club (nasal),0
T cell,Epithelial,Club (non-nasal),0
T cell,Epithelial,Goblet (bronchial),0
T cell,Epithelial,Goblet (nasal),0
T cell,Epithelial,Goblet (subsegmental),0
T cell,Epithelial,Interstitial Mph perivascular,0
T cell,Epithelial,Monocyte-derived Mph,0
T cell,Epithelial,Multiciliated (nasal),0
T cell,Epithelial,Multiciliated (non-nasal),0
T cell,Epithelial,None,0
T cell,Epithelial,SMG serous (bronchial),0
T cell,Epithelial,SMG serous (nasal),0
T cell,Epithelial,pre-TB secretory,0
T cell,Immune,AT0,0
T cell,Immune,Alveolar Mph CCL3+,0
T cell,Immune,Alveolar Mph MT-positive,0
T cell,Immune,Alveolar Mph proliferating,0
T cell,Immune,Club (nasal),0
T cell,Immune,Club (non-nasal),0
T cell,Immune,Goblet (bronchial),0
T cell,Immune,Goblet (nasal),0
T cell,Immune,Goblet (subsegmental),0
T cell,Immune,Interstitial Mph perivascular,0
T cell,Immune,Monocyte-derived Mph,0
T cell,Immune,Multiciliated (nasal),0
T cell,Immune,Multiciliated (non-nasal),0
T cell,Immune,None,500
T cell,Immune,SMG serous (bronchial),0
T cell,Immune,SMG serous (nasal),0
T cell,Immune,pre-TB secretory,0
T cell,Stroma,AT0,0
T cell,Stroma,Alveolar Mph CCL3+,0
T cell,Stroma,Alveolar Mph MT-positive,0
T cell,Stroma,Alveolar Mph proliferating,0
T cell,Stroma,Club (nasal),0
T cell,Stroma,Club (non-nasal),0
T cell,Stroma,Goblet (bronchial),0
T cell,Stroma,Goblet (nasal),0
T cell,Stroma,Goblet (subsegmental),0
T cell,Stroma,Interstitial Mph perivascular,0
T cell,Stroma,Monocyte-derived Mph,0
T cell,Stroma,Multiciliated (nasal),0
T cell,Stroma,Multiciliated (non-nasal),0
T cell,Stroma,None,0
T cell,Stroma,SMG serous (bronchial),0
T cell,Stroma,SMG serous (nasal),0
T cell,Stroma,pre-TB secretory,0
mast cell,Endothelial,AT0,0
mast cell,Endothelial,Alveolar Mph CCL3+,0
mast cell,Endothelial,Alveolar Mph MT-positive,0
mast cell,Endothelial,Alveolar Mph proliferating,0
mast cell,Endothelial,Club (nasal),0
mast cell,Endothelial,Club (non-nasal),0
mast cell,Endothelial,Goblet (bronchial),0
mast cell,Endothelial,Goblet (nasal),0
mast cell,Endothelial,Goblet (subsegmental),0
mast cell,Endothelial,Interstitial Mph perivascular,0
mast cell,Endothelial,Monocyte-derived Mph,0
mast cell,Endothelial,Multiciliated (nasal),0
mast cell,Endothelial,Multiciliated (non-nasal),0
mast cell,Endothelial,None,0
mast cell,Endothelial,SMG serous (bronchial),0
mast cell,Endothelial,SMG serous (nasal),0
mast cell,Endothelial,pre-TB secretory,0
mast cell,Epithelial,AT0,0
mast cell,Epithelial,Alveolar Mph CCL3+,0
mast cell,Epithelial,Alveolar Mph MT-positive,0
mast cell,Epithelial,Alveolar Mph proliferating,0
mast cell,Epithelial,Club (nasal),0
mast cell,Epithelial,Club (non-nasal),0
mast cell,Epithelial,Goblet (bronchial),0
mast cell,Epithelial,Goblet (nasal),0
mast cell,Epithelial,Goblet (subsegmental),0
mast cell,Epithelial,Interstitial Mph perivascular,0
mast cell,Epithelial,Monocyte-derived Mph,0
mast cell,Epithelial,Multiciliated (nasal),0
mast cell,Epithelial,Multiciliated (non-nasal),0
mast cell,Epithelial,None,0
mast cell,Epithelial,SMG serous (bronchial),0
mast cell,Epithelial,SMG serous (nasal),0
mast cell,Epithelial,pre-TB secretory,0
mast cell,Immune,AT0,0
mast cell,Immune,Alveolar Mph CCL3+,0
mast cell,Immune,Alveolar Mph MT-positive,0
mast cell,Immune,Alveolar Mph proliferating,0
mast cell,Immune,Club (nasal),0
mast cell,Immune,Club (non-nasal),0
mast cell,Immune,Goblet (bronchial),0
mast cell,Immune,Goblet (nasal),0
mast cell,Immune,Goblet (subsegmental),0
mast cell,Immune,Interstitial Mph perivascular,0
mast cell,Immune,Monocyte-derived Mph,0
mast cell,Immune,Multiciliated (nasal),0
mast cell,Immune,Multiciliated (non-nasal),0
mast cell,Immune,None,6623
mast cell,Immune,SMG serous (bronchial),0
mast cell,Immune,SMG serous (nasal),0
mast cell,Immune,pre-TB secretory,0
mast cell,Stroma,AT0,0
mast cell,Stroma,Alveolar Mph CCL3+,0
mast cell,Stroma,Alveolar Mph MT-positive,0
mast cell,Stroma,Alveolar Mph proliferating,0
mast cell,Stroma,Club (nasal),0
mast cell,Stroma,Club (non-nasal),0
mast cell,Stroma,Goblet (bronchial),0
mast cell,Stroma,Goblet (nasal),0
mast cell,Stroma,Goblet (subsegmental),0
mast cell,Stroma,Interstitial Mph perivascular,0
mast cell,Stroma,Monocyte-derived Mph,0
mast cell,Stroma,Multiciliated (nasal),0
mast cell,Stroma,Multiciliated (non-nasal),0
mast cell,Stroma,None,0
mast cell,Stroma,SMG serous (bronchial),0
mast cell,Stroma,SMG serous (nasal),0
mast cell,Stroma,pre-TB secretory,0
club cell,Endothelial,AT0,0
club cell,Endothelial,Alveolar Mph CCL3+,0
club cell,Endothelial,Alveolar Mph MT-positive,0
club cell,Endothelial,Alveolar Mph proliferating,0
club cell,Endothelial,Club (nasal),0
club cell,Endothelial,Club (non-nasal),0
club cell,Endothelial,Goblet (bronchial),0
club cell,Endothelial,Goblet (nasal),0
club cell,Endothelial,Goblet (subsegmental),0
club cell,Endothelial,Interstitial Mph perivascular,0
club cell,Endothelial,Monocyte-derived Mph,0
club cell,Endothelial,Multiciliated (nasal),0
club cell,Endothelial,Multiciliated (non-nasal),0
club cell,Endothelial,None,0
club cell,Endothelial,SMG serous (bronchial),0
club cell,Endothelial,SMG serous (nasal),0
club cell,Endothelial,pre-TB secretory,0
club cell,Epithelial,AT0,0
club cell,Epithelial,Alveolar Mph CCL3+,0
club cell,Epithelial,Alveolar Mph MT-positive,0
club cell,Epithelial,Alveolar Mph proliferating,0
club cell,Epithelial,Club (nasal),26068
club cell,Epithelial,Club (non-nasal),9955
club cell,Epithelial,Goblet (bronchial),0
club cell,Epithelial,Goblet (nasal),0
club cell,Epithelial,Goblet (subsegmental),0
club cell,Epithelial,Interstitial Mph perivascular,0
club cell,Epithelial,Monocyte-derived Mph,0
club cell,Epithelial,Multiciliated (nasal),0
club cell,Epithelial,Multiciliated (non-nasal),0
club cell,Epithelial,None,0
club cell,Epithelial,SMG serous (bronchial),0
club cell,Epithelial,SMG serous (nasal),0
club cell,Epithelial,pre-TB secretory,0
club cell,Immune,AT0,0
club cell,Immune,Alveolar Mph CCL3+,0
club cell,Immune,Alveolar Mph MT-positive,0
club cell,Immune,Alveolar Mph proliferating,0
club cell,Immune,Club (nasal),0
club cell,Immune,Club (non-nasal),0
club cell,Immune,Goblet (bronchial),0
club cell,Immune,Goblet (nasal),0
club cell,Immune,Goblet (subsegmental),0
club cell,Immune,Interstitial Mph perivascular,0
club cell,Immune,Monocyte-derived Mph,0
club cell,Immune,Multiciliated (nasal),0
club cell,Immune,Multiciliated (non-nasal),0
club cell,Immune,None,0
club cell,Immune,SMG serous (bronchial),0
club cell,Immune,SMG serous (nasal),0
club cell,Immune,pre-TB secretory,0
club cell,Stroma,AT0,0
club cell,Stroma,Alveolar Mph CCL3+,0
club cell,Stroma,Alveolar Mph MT-positive,0
club cell,Stroma,Alveolar Mph proliferating,0
club cell,Stroma,Club (nasal),0
club cell,Stroma,Club (non-nasal),0
club cell,Stroma,Goblet (bronchial),0
club cell,Stroma,Goblet (nasal),0
club cell,Stroma,Goblet (subsegmental),0
club cell,Stroma,Interstitial Mph perivascular,0
club cell,Stroma,Monocyte-derived Mph,0
club cell,Stroma,Multiciliated (nasal),0
club cell,Stroma,Multiciliated (non-nasal),0
club cell,Stroma,None,0
club cell,Stroma,SMG serous (bronchial),0
club cell,Stroma,SMG serous (nasal),0
club cell,Stroma,pre-TB secretory,0
myofibroblast cell,Endothelial,AT0,0
myofibroblast cell,Endothelial,Alveolar Mph CCL3+,0
myofibroblast cell,Endothelial,Alveolar Mph MT-positive,0
myofibroblast cell,Endothelial,Alveolar Mph proliferating,0
myofibroblast cell,Endothelial,Club (nasal),0
myofibroblast cell,Endothelial,Club (non-nasal),0
myofibroblast cell,Endothelial,Goblet (bronchial),0
myofibroblast cell,Endothelial,Goblet (nasal),0
myofibroblast cell,Endothelial,Goblet (subsegmental),0
myofibroblast cell,Endothelial,Interstitial Mph perivascular,0
myofibroblast cell,Endothelial,Monocyte-derived Mph,0
myofibroblast cell,Endothelial,Multiciliated (nasal),0
myofibroblast cell,Endothelial,Multiciliated (non-nasal),0
myofibroblast cell,Endothelial,None,0
myofibroblast cell,Endothelial,SMG serous (bronchial),0
myofibroblast cell,Endothelial,SMG serous (nasal),0
myofibroblast cell,Endothelial,pre-TB secretory,0
myofibroblast cell,Epithelial,AT0,0
myofibroblast cell,Epithelial,Alveolar Mph CCL3+,0
myofibroblast cell,Epithelial,Alveolar Mph MT-positive,0
myofibroblast cell,Epithelial,Alveolar Mph proliferating,0
myofibroblast cell,Epithelial,Club (nasal),0
myofibroblast cell,Epithelial,Club (non-nasal),0
myofibroblast cell,Epithelial,Goblet (bronchial),0
myofibroblast cell,Epithelial,Goblet (nasal),0
myofibroblast cell,Epithelial,Goblet (subsegmental),0
myofibroblast cell,Epithelial,Interstitial Mph perivascular,0
myofibroblast cell,Epithelial,Monocyte-derived Mph,0
myofibroblast cell,Epithelial,Multiciliated (nasal),0
myofibroblast cell,Epithelial,Multiciliated (non-nasal),0
myofibroblast cell,Epithelial,None,0
myofibroblast cell,Epithelial,SMG serous (bronchial),0
myofibroblast cell,Epithelial,SMG serous (nasal),0
myofibroblast cell,Epithelial,pre-TB secretory,0
myofibroblast cell,Immune,AT0,0
myofibroblast cell,Immune,Alveolar Mph CCL3+,0
myofibroblast cell,Immune,Alveolar Mph MT-positive,0
myofibroblast cell,Immune,Alveolar Mph proliferating,0
myofibroblast cell,Immune,Club (nasal),0
myofibroblast cell,Immune,Club (non-nasal),0
myofibroblast cell,Immune,Goblet (bronchial),0
myofibroblast cell,Immune,Goblet (nasal),0
myofibroblast cell,Immune,Goblet (subsegmental),0
myofibroblast cell,Immune,Interstitial Mph perivascular,0
myofibroblast cell,Immune,Monocyte-derived Mph,0
myofibroblast cell,Immune,Multiciliated (nasal),0
myofibroblast cell,Immune,Multiciliated (non-nasal),0
myofibroblast cell,Immune,None,0
myofibroblast cell,Immune,SMG serous (bronchial),0
myofibroblast cell,Immune,SMG serous (nasal),0
myofibroblast cell,Immune,pre-TB secretory,0
myofibroblast cell,Stroma,AT0,0
myofibroblast cell,Stroma,Alveolar Mph CCL3+,0
myofibroblast cell,Stroma,Alveolar Mph MT-positive,0
myofibroblast cell,Stroma,Alveolar Mph proliferating,0
myofibroblast cell,Stroma,Club (nasal),0
myofibroblast cell,Stroma,Club (non-nasal),0
myofibroblast cell,Stroma,Goblet (bronchial),0
myofibroblast cell,Stroma,Goblet (nasal),0
myofibroblast cell,Stroma,Goblet (subsegmental),0
myofibroblast cell,Stroma,Interstitial Mph perivascular,0
myofibroblast cell,Stroma,Monocyte-derived Mph,0
myofibroblast cell,Stroma,Multiciliated (nasal),0
myofibroblast cell,Stroma,Multiciliated (non-nasal),0
myofibroblast cell,Stroma,None,716
myofibroblast cell,Stroma,SMG serous (bronchial),0
myofibroblast cell,Stroma,SMG serous (nasal),0
myofibroblast cell,Stroma,pre-TB secretory,0
smooth muscle cell,Endothelial,AT0,0
smooth muscle cell,Endothelial,Alveolar Mph CCL3+,0
smooth muscle cell,Endothelial,Alveolar Mph MT-positive,0
smooth muscle cell,Endothelial,Alveolar Mph proliferating,0
smooth muscle cell,Endothelial,Club (nasal),0
smooth muscle cell,Endothelial,Club (non-nasal),0
smooth muscle cell,Endothelial,Goblet (bronchial),0
smooth muscle cell,Endothelial,Goblet (nasal),0
smooth muscle cell,Endothelial,Goblet (subsegmental),0
smooth muscle cell,Endothelial,Interstitial Mph perivascular,0
smooth muscle cell,Endothelial,Monocyte-derived Mph,0
smooth muscle cell,Endothelial,Multiciliated (nasal),0
smooth muscle cell,Endothelial,Multiciliated (non-nasal),0
smooth muscle cell,Endothelial,None,0
smooth muscle cell,Endothelial,SMG serous (bronchial),0
smooth muscle cell,Endothelial,SMG serous (nasal),0
smooth muscle cell,Endothelial,pre-TB secretory,0
smooth muscle cell,Epithelial,AT0,0
smooth muscle cell,Epithelial,Alveolar Mph CCL3+,0
smooth muscle cell,Epithelial,Alveolar Mph MT-positive,0
smooth muscle cell,Epithelial,Alveolar Mph proliferating,0
smooth muscle cell,Epithelial,Club (nasal),0
smooth muscle cell,Epithelial,Club (non-nasal),0
smooth muscle cell,Epithelial,Goblet (bronchial),0
smooth muscle cell,Epithelial,Goblet (nasal),0
smooth muscle cell,Epithelial,Goblet (subsegmental),0
smooth muscle cell,Epithelial,Interstitial Mph perivascular,0
smooth muscle cell,Epithelial,Monocyte-derived Mph,0
smooth muscle cell,Epithelial,Multiciliated (nasal),0
smooth muscle cell,Epithelial,Multiciliated (non-nasal),0
smooth muscle cell,Epithelial,None,0
smooth muscle cell,Epithelial,SMG serous (bronchial),0
smooth muscle cell,Epithelial,SMG serous (nasal),0
smooth muscle cell,Epithelial,pre-TB secretory,0
smooth muscle cell,Immune,AT0,0
smooth muscle cell,Immune,Alveolar Mph CCL3+,0
smooth muscle cell,Immune,Alveolar Mph MT-positive,0
smooth muscle cell,Immune,Alveolar Mph proliferating,0
smooth muscle cell,Immune,Club (nasal),0
smooth muscle cell,Immune,Club (non-nasal),0
smooth muscle cell,Immune,Goblet (bronchial),0
smooth muscle cell,Immune,Goblet (nasal),0
smooth muscle cell,Immune,Goblet (subsegmental),0
smooth muscle cell,Immune,Interstitial Mph perivascular,0
smooth muscle cell,Immune,Monocyte-derived Mph,0
smooth muscle cell,Immune,Multiciliated (nasal),0
smooth muscle cell,Immune,Multiciliated (non-nasal),0
smooth muscle cell,Immune,None,0
smooth muscle cell,Immune,SMG serous (bronchial),0
smooth muscle cell,Immune,SMG serous (nasal),0
smooth muscle cell,Immune,pre-TB secretory,0
smooth muscle cell,Stroma,AT0,0
smooth muscle cell,Stroma,Alveolar Mph CCL3+,0
smooth muscle cell,Stroma,Alveolar Mph MT-positive,0
smooth muscle cell,Stroma,Alveolar Mph proliferating,0
smooth muscle cell,Stroma,Club (nasal),0
smooth muscle cell,Stroma,Club (non-nasal),0
smooth muscle cell,Stroma,Goblet (bronchial),0
smooth muscle cell,Stroma,Goblet (nasal),0
smooth muscle cell,Stroma,Goblet (subsegmental),0
smooth muscle cell,Stroma,Interstitial Mph perivascular,0
smooth muscle cell,Stroma,Monocyte-derived Mph,0
smooth muscle cell,Stroma,Multiciliated (nasal),0
smooth muscle cell,Stroma,Multiciliated (non-nasal),0
smooth muscle cell,Stroma,None,556
smooth muscle cell,Stroma,SMG serous (bronchial),0
smooth muscle cell,Stroma,SMG serous (nasal),0
smooth muscle cell,Stroma,pre-TB secretory,0
B cell,Endothelial,AT0,0
B cell,Endothelial,Alveolar Mph CCL3+,0
B cell,Endothelial,Alveolar Mph MT-positive,0
B cell,Endothelial,Alveolar Mph proliferating,0
B cell,Endothelial,Club (nasal),0
B cell,Endothelial,Club (non-nasal),0
B cell,Endothelial,Goblet (bronchial),0
B cell,Endothelial,Goblet (nasal),0
B cell,Endothelial,Goblet (subsegmental),0
B cell,Endothelial,Interstitial Mph perivascular,0
B cell,Endothelial,Monocyte-derived Mph,0
B cell,Endothelial,Multiciliated (nasal),0
B cell,Endothelial,Multiciliated (non-nasal),0
B cell,Endothelial,None,0
B cell,Endothelial,SMG serous (bronchial),0
B cell,Endothelial,SMG serous (nasal),0
B cell,Endothelial,pre-TB secretory,0
B cell,Epithelial,AT0,0
B cell,Epithelial,Alveolar Mph CCL3+,0
B cell,Epithelial,Alveolar Mph MT-positive,0
B cell,Epithelial,Alveolar Mph proliferating,0
B cell,Epithelial,Club (nasal),0
B cell,Epithelial,Club (non-nasal),0
B cell,Epithelial,Goblet (bronchial),0
B cell,Epithelial,Goblet (nasal),0
B cell,Epithelial,Goblet (subsegmental),0
B cell,Epithelial,Interstitial Mph perivascular,0
B cell,Epithelial,Monocyte-derived Mph,0
B cell,Epithelial,Multiciliated (nasal),0
B cell,Epithelial,Multiciliated (non-nasal),0
B cell,Epithelial,None,0
